"","case_number","recalled","recalled_log","recovered","date","month","month_name","Season","year","species","reason","recall_class","summary","dup","rec_text","recovered_text","recovered_log","Pr_recov","Pr_recov_log","year_n"
"50","058-2015",8294,3.91881639036038,4117,"4/10/15",4,"April","Spring",2015,"beef","Extraneous Material","Class III",FALSE,FALSE,"8294","4117",3.61468634228201,0.49638292741741,-0.304130048078367,21
"51","059-2015",15600,4.19315243685208,582,"4/11/15",4,"April","Spring",2015,"mixed","Undeclared Allergen","Class II",FALSE,FALSE,"15600","582",2.76566855475901,0.0373076923076923,-1.42748388209306,21
"52","060-2015",1800,3.25551371281953,191,"4/13/15",4,"April","Spring",2015,"beef","Other","Class I",FALSE,FALSE,"1800","191",2.28330122870355,0.106111111111111,-0.972212484115984,21
"53","061-2015",1920,3.28352736486169,0,"4/14/15",4,"April","Spring",2015,"mixed","Extraneous Material","Class I",FALSE,FALSE,"1920","0",0,0,-3.28352736486169,21
"54","062-2015",569,2.75587485567249,0,"4/15/15",4,"April","Spring",2015,"mixed","Other","Class II",FALSE,FALSE,"569","0",0,0,-2.75587485567249,21
"55","063-2015",3821,3.58229068271899,802,"4/17/15",4,"April","Spring",2015,"mixed","Undeclared Allergen","Class I",FALSE,FALSE,"3821","802",2.90471554527868,0.209892698246532,-0.677575137440313,21
"56","064-2015",2129,3.32837960343874,313,"4/18/15",4,"April","Spring",2015,"pork","Processing Defect","Class I",FALSE,FALSE,"2129","313",2.49692964807321,0.147017379051198,-0.831449955365523,21
"57","065-2015",737,2.86805636182304,107,"4/20/15",4,"April","Spring",2015,"poultry","Other","Class III",FALSE,FALSE,"737","107",2.03342375548695,0.145183175033921,-0.834632606336092,21
"58","066-2015",59203,4.77235104995336,1134,"4/20/15",4,"April","Spring",2015,"mixed","Extraneous Material","Class II",FALSE,FALSE,"59203","1134",3.05499586152914,0.0191544347414827,-1.71735518842421,21
"59","067-2015",34075,4.53244860957228,19838,"4/23/15",4,"April","Spring",2015,"poultry","Extraneous Material","Class I",FALSE,FALSE,"34075","19838",4.29751977742364,0.582186353631695,-0.23492883214864,21
"60","068-2015",10164,4.00710738297406,497,"4/24/15",4,"April","Spring",2015,"mixed","Undeclared Allergen","Class I",FALSE,FALSE,"10164","497",2.69722934275972,0.0488980716253444,-1.30987804021434,21
"61","070-2015",1029,3.01283722470517,0,"4/27/15",4,"April","Spring",2015,"beef","STEC","Class I",TRUE,FALSE,"1029","0",0,0,-3.01283722470517,21
"62","071-2015",9073384,6.95776933916209,23174,"4/29/15",4,"April","Spring",2015,"mixed","Undeclared Allergen","Class I",FALSE,FALSE,"9073384","23174",4.36501974281653,0.00255406362168734,-2.59274959634556,21
"63","072-2015",159291,5.20219396510999,1176,"4/30/15",4,"April","Spring",2015,"mixed","Undeclared Allergen","Class II",FALSE,FALSE,"159291","1176",3.07077646284343,0.00738271465431192,-2.13141750226656,21
"64","074-2015",22,1.36172783601759,9,"5/1/15",5,"May","Spring",2015,"beef","Extraneous Material","Class II",FALSE,FALSE,"22","9",1,0.409090909090909,-0.361727836017593,21
"65","075-2015",665,2.8234742291703,88,"5/7/15",5,"May","Spring",2015,"beef","Undeclared Allergen","Class I",FALSE,FALSE,"665","88",1.94939000664491,0.132330827067669,-0.874084222525388,21
"66","077-2015",46612,4.6685070549068,2058,"5/8/15",5,"May","Spring",2015,"pork","Undeclared Allergen","Class II",FALSE,FALSE,"46612","2058",3.31365634661803,0.0441517205869733,-1.35485070828877,21
"67","079-2015",2191,3.34084054981233,470,"5/14/15",5,"May","Spring",2015,"poultry","Other","Class II",FALSE,FALSE,"2191","470",2.6730209071289,0.214513920584208,-0.667819642683436,21
"68","078-2015",414,2.61804809671209,0,"5/16/15",5,"May","Spring",2015,"mixed","Undeclared Allergen","Class II",FALSE,FALSE,"414","0",0,0,-2.61804809671209,21
"69","083-2015",4038,3.60627385316999,0,"5/22/15",5,"May","Spring",2015,"pork","Undeclared Allergen","Class II",FALSE,FALSE,"4038","0",0,0,-3.60627385316999,21
"70","082-2015",12,1.11394335230684,0,"5/22/15",5,"May","Spring",2015,"beef","Undeclared Allergen","Class II",FALSE,FALSE,"12","0",0,0,-1.11394335230684,21
