,case_number,recalled,recalled_log,recovered,date,month,month_name,Season,year,species,reason,recall_class,summary,dup
94,121-2015,20,1.322219295,20,9/8/15,9,September,Summer,2015,beef,STEC,Class I,FALSE,FALSE
95,120-2015,5391,3.731749884,5250,9/8/15,9,September,Summer,2015,pork,Other,Class I,FALSE,FALSE
96,123-2015,1280,3.10754913,35,9/16/15,9,September,Summer,2015,pork,Other,Class I,FALSE,FALSE
97,125-2015,216,2.336459734,22,9/25/15,9,September,Autumn,2015,poultry,Undeclared Allergen,Class II,FALSE,FALSE
98,126-2015,230,2.36361198,206,9/29/15,9,September,Autumn,2015,mixed,Undeclared Allergen,Class I,FALSE,FALSE
99,128-2015,276,2.442479769,0,10/20/15,10,October,Autumn,2015,poultry,Undeclared Allergen,Class I,FALSE,FALSE
100,129-2015,25920,4.413651752,0,10/22/15,10,October,Autumn,2015,poultry,Other,Class I,FALSE,FALSE
101,130-2015,2659,3.424881637,312,10/22/15,10,October,Autumn,2015,mixed,Other,Class I,FALSE,FALSE
102,131-2015,234,2.371067862,141,10/24/15,10,October,Autumn,2015,poultry,Listeria,Class I,FALSE,FALSE
103,132-2015,224,2.352182518,81,10/26/15,10,October,Autumn,2015,mixed,Listeria,Class I,FALSE,FALSE
104,134-2015,190,2.281033367,190,10/30/15,10,October,Autumn,2015,poultry,Undeclared Allergen,Class II,FALSE,FALSE
105,135-2015,167427,5.223828089,28206,11/1/15,11,November,Autumn,2015,beef,STEC,Class I,FALSE,FALSE
106,136-2015,265,2.424881637,850,11/1/15,11,November,Autumn,2015,mixed,Undeclared Allergen,Class I,FALSE,FALSE
107,138-2015,4030,3.605412798,1054,11/6/15,11,November,Autumn,2015,pork,Other,Class I,FALSE,FALSE
108,140-2015,3607,3.557266529,0,11/7/15,11,November,Autumn,2015,mixed,Undeclared Allergen,Class I,FALSE,FALSE
109,141-2015,52486,4.720051751,32047,11/17/15,11,November,Autumn,2015,poultry,Other,Class II,FALSE,FALSE
