Red meat and poultry production (million pounds),,,,,,,,,,,,,,,
Type 1/,Commercial 2/,,,,,,,,,,Federally inspected,,,,
,Beef 3/,Veal 3/,Pork 3/,Lamb and mutton 3/,Total red meat 3/ 4/,Beef 3/,Veal 3/,Pork 3/,Lamb and mutton 3/,Total red meat 3/ 4/,Broilers 5/,Other chicken 5/,Turkey 5/,Total poultry 4/ 5/ 6/,Total red meat and poultry 4/
Jan-Apr 2016,7898.40,25.20,8230.00,50.80,16204.40,7796.70,24.70,8181.50,46.90,16049.90,13335.26,176.93,1919.58,15478.67,31528.57
Jan-Apr 2015,7593.70,26.60,8228.40,51.20,15899.90,7491.90,26.20,8182.20,48.10,15748.40,13063.84,172.91,1925.45,15208.95,30957.35
Apr-2016,1963.90,6.00,2000.10,12.80,3982.90,1939.80,5.90,1988.30,11.80,3945.80,3296.10,42.22,484.69,3834.46,7780.26
Mar-2016,2096.00,6.40,2145.10,14.30,4261.70,2069.50,6.20,2131.80,13.20,4220.80,3525.88,49.56,503.87,4091.78,8312.58
Feb-2016,1885.00,6.10,2000.60,12.50,3904.20,1859.70,6.00,1988.70,11.60,3866.00,3256.50,43.34,454.55,3765.57,7631.57
Jan-2016,1953.50,6.70,2084.20,11.20,4055.60,1927.70,6.60,2072.70,10.30,4017.30,3256.78,41.81,476.47,3786.87,7804.17
Dec-2015,2046.30,7.80,2207.20,13.20,4274.50,2020.50,7.70,2194.50,12.30,4234.90,3334.49,44.22,461.21,3852.85,8087.75
Nov-2015,1936.10,7.10,2080.80,11.80,4035.70,1911.20,6.90,2068.90,10.90,3997.90,3135.44,38.76,470.74,3656.30,7654.20
Oct-2015,2126.30,7.20,2169.20,11.90,4314.60,2096.50,7.10,2155.50,10.90,4270.00,3467.17,47.57,525.94,4052.78,8322.78
Sep-2015,2086.60,6.80,2035.90,12.30,4141.70,2060.20,6.70,2022.10,11.00,4100.10,3486.28,45.55,452.27,3995.88,8095.98
Aug-2015,1934.90,6.50,1949.10,11.70,3902.20,1911.00,6.30,1935.80,10.60,3863.80,3417.47,42.90,450.75,3921.95,7785.75
Jul-2015,2046.80,6.90,1972.90,12.90,4039.50,2023.40,6.80,1960.50,11.80,4002.50,3468.72,44.55,448.52,3973.47,7975.97
Jun-2015,2001.60,7.00,1995.90,13.50,4018.00,1977.60,6.90,1984.50,12.30,3981.40,3428.40,45.60,458.29,3943.97,7925.37
May-2015,1925.50,6.60,1861.90,11.90,3806.00,1902.60,6.50,1851.30,11.10,3771.40,3246.53,40.38,434.05,3731.80,7503.20
Apr-2015,1928.80,6.60,2066.90,13.70,4016.00,1903.90,6.50,2055.00,12.80,3978.10,3346.08,46.40,496.61,3901.35,7879.45
Mar-2015,1933.30,6.90,2111.80,14.30,4066.30,1907.20,6.80,2099.10,13.50,4026.60,3389.02,43.95,501.93,3947.09,7973.69
Feb-2015,1768.10,6.30,1945.20,11.50,3731.10,1744.60,6.20,1934.60,10.80,3696.20,3000.69,41.18,434.60,3486.92,7183.12
Jan-2015,1963.50,6.80,2104.50,11.70,4086.50,1936.20,6.70,2093.50,11.00,4047.50,3328.06,41.38,492.31,3873.59,7921.09
Dec-2014,2000.20,7.70,2114.30,13.40,4135.50,1973.40,7.50,2103.10,12.60,4096.60,3348.48,44.34,474.92,3880.48,7977.08
Nov-2014,1849.50,6.50,1890.20,11.50,3757.70,1825.40,6.30,1880.40,10.60,3722.80,2939.95,36.09,480.81,3467.27,7190.07
Oct-2014,2171.10,7.80,2126.40,13.40,4318.60,2138.60,7.60,2113.70,12.30,4272.10,3525.25,47.39,561.59,4146.81,8418.91
Sep-2014,2068.40,7.20,1871.90,12.30,3959.90,2041.00,7.10,1860.00,11.30,3919.30,3306.58,45.05,493.48,3856.26,7775.56
Aug-2014,2023.50,7.10,1752.20,11.70,3794.50,1999.00,6.90,1740.20,10.60,3756.70,3197.55,45.91,483.81,3737.93,7494.63
Jul-2014,2087.40,7.80,1799.80,13.90,3908.90,2060.80,7.70,1788.30,12.80,3869.50,3331.13,44.17,500.43,3887.18,7756.68
Jun-2014,2069.00,7.60,1734.00,13.40,3823.90,2044.10,7.40,1723.90,12.40,3787.90,3205.60,43.52,485.97,3745.44,7533.34
May-2014,2071.70,7.80,1859.10,13.90,3952.40,2046.80,7.60,1849.00,13.00,3916.50,3201.16,45.94,470.96,3729.05,7645.55
Apr-2014,2043.10,8.40,1911.00,15.20,3977.70,2017.50,8.30,1899.40,14.30,3939.40,3210.86,44.41,471.23,3737.99,7677.39
Mar-2014,1937.00,8.70,1854.40,13.20,3813.30,1911.90,8.60,1843.70,12.60,3776.70,3098.58,41.46,457.10,3607.31,7384.01
Feb-2014,1788.40,8.20,1844.20,11.60,3652.30,1762.20,8.00,1833.70,10.90,3614.90,3015.00,39.70,421.37,3486.21,7101.11
Jan-2014,2140.90,9.30,2085.70,12.40,4248.30,2111.50,9.20,2074.30,11.70,4206.70,3185.05,43.21,453.98,3693.12,7899.82
Dec-2013,2047.30,9.80,2065.40,13.00,4135.60,2019.10,9.70,2053.90,12.30,4095.00,3093.35,40.12,423.02,3568.11,7663.11
Nov-2013,2057.60,9.10,2039.90,11.80,4118.40,2030.90,8.90,2028.90,11.10,4079.80,2968.25,35.95,479.34,3492.97,7572.77
Oct-2013,2318.20,9.90,2169.00,13.10,4510.20,2283.80,9.70,2154.70,11.90,4460.10,3475.27,46.82,518.11,4051.77,8511.87
Sep-2013,2073.80,8.60,1842.90,11.70,3937.00,2047.10,8.40,1830.10,10.80,3896.40,3108.05,44.70,440.65,3603.22,7499.62
Aug-2013,2241.20,9.00,1938.40,13.80,4202.40,2215.60,8.80,1924.10,12.80,4161.30,3296.20,50.30,484.95,3841.60,8002.90
Jul-2013,2294.10,9.60,1840.30,14.20,4158.20,2268.30,9.40,1827.10,13.10,4117.80,3278.85,47.09,514.47,3850.87,7968.67
Jun-2013,2157.00,8.40,1676.30,12.70,3854.50,2132.20,8.30,1665.10,12.00,3817.50,3002.00,42.87,473.44,3527.58,7345.08
May-2013,2227.60,9.10,1898.90,14.50,4150.00,2201.50,8.90,1887.80,13.40,4111.60,3270.06,46.19,507.99,3834.33,7945.93
Apr-2013,2128.60,9.10,1940.80,13.40,4091.90,2101.10,8.90,1928.90,12.50,4051.40,3194.07,45.52,504.55,3754.82,7806.22
Mar-2013,2039.80,9.20,1932.00,13.80,3994.90,2012.30,9.00,1920.40,13.10,3954.70,2999.23,38.01,472.73,3520.07,7474.77
Feb-2013,1873.40,9.00,1778.40,11.50,3672.40,1845.00,8.80,1766.70,10.90,3631.30,2877.65,39.18,461.69,3388.33,7019.63
Jan-2013,2261.30,10.50,2064.90,12.40,4349.00,2227.90,10.20,2052.10,11.70,4302.00,3267.08,46.60,524.60,3848.99,8150.99
Dec-2012,2020.10,9.80,1954.20,12.80,3997.00,1992.30,9.60,1940.50,11.90,3954.40,2853.68,36.34,441.49,3342.13,7296.53
Nov-2012,2207.50,10.10,2079.20,12.50,4309.20,2178.80,9.80,2065.10,11.60,4265.30,3008.47,37.71,515.29,3571.83,7837.13
Oct-2012,2344.80,10.30,2210.70,14.30,4580.10,2307.60,10.00,2194.90,13.30,4525.80,3335.51,43.82,579.92,3970.38,8496.18
Sep-2012,2015.50,8.80,1911.20,12.50,3948.10,1986.10,8.60,1896.90,11.80,3903.40,2927.08,43.65,453.07,3433.02,7336.42
Aug-2012,2368.60,10.10,1998.10,14.20,4391.10,2338.60,9.90,1983.00,13.40,4344.80,3317.52,51.01,530.10,3909.11,8253.91
Jul-2012,2201.40,9.50,1721.90,12.50,3945.20,2176.80,9.20,1708.70,11.80,3906.50,3126.99,43.43,497.19,3676.75,7583.25
Jun-2012,2250.70,8.90,1750.50,12.40,4022.50,2225.80,8.70,1738.50,11.80,3984.90,3105.27,49.18,506.65,3670.88,7655.78
May-2012,2231.90,10.40,1926.80,13.60,4182.70,2206.40,10.10,1913.90,12.90,4143.30,3281.80,47.74,519.95,3859.97,8003.27
Apr-2012,1990.60,9.90,1841.90,12.90,3855.20,1964.00,9.60,1829.20,12.20,3815.00,2993.77,41.59,478.04,3523.41,7338.41
Mar-2012,2159.50,10.00,1987.70,14.20,4171.40,2133.30,9.70,1975.10,13.60,4131.80,3043.82,40.05,502.10,3596.09,7727.89
Feb-2012,2008.90,9.80,1883.00,12.30,3914.10,1981.20,9.60,1870.10,11.80,3872.70,2953.65,38.81,466.80,3469.18,7341.88
Jan-2012,2113.10,10.40,1987.30,12.10,4123.00,2081.70,10.20,1974.10,11.60,4077.60,3091.80,43.25,476.68,3622.26,7699.86
Dec-2011,2126.30,10.80,2065.60,12.50,4215.10,2096.40,10.50,2052.60,11.80,4171.30,2857.47,41.40,458.91,3368.91,7540.21
Nov-2011,2148.80,10.80,2086.70,12.60,4258.90,2119.80,10.50,2073.60,11.80,4215.80,2907.08,39.77,511.40,3468.88,7684.68
Oct-2011,2215.10,10.60,2033.20,11.70,4270.60,2181.20,10.30,2018.80,11.00,4221.30,3096.84,43.40,524.53,3675.85,7897.15
Sep-2011,2215.20,10.70,1954.40,11.80,4192.10,2185.70,10.40,1939.20,11.10,4146.40,3180.41,46.95,473.24,3710.83,7857.23
Aug-2011,2386.90,11.40,1892.10,13.10,4303.40,2358.10,11.10,1876.20,12.30,4257.80,3330.34,49.88,501.31,3892.14,8149.94
Jul-2011,2134.10,10.10,1637.10,10.90,3792.30,2110.60,9.90,1625.30,10.20,3755.90,3030.89,46.23,448.09,3533.85,7289.75
Jun-2011,2375.00,11.20,1820.00,12.60,4218.80,2347.10,11.00,1807.10,11.80,4177.00,3284.58,49.29,519.29,3863.48,8040.48
May-2011,2131.90,10.30,1759.70,12.90,3914.80,2105.40,10.00,1747.30,12.30,3875.00,3251.11,42.87,496.41,3800.66,7675.66
Apr-2011,2052.50,10.20,1790.70,14.40,3867.80,2026.10,10.00,1778.60,13.70,3828.40,2973.52,40.25,455.63,3479.16,7307.56
Mar-2011,2266.20,12.10,2054.40,14.10,4346.70,2236.70,11.80,2040.10,13.60,4302.20,3310.38,44.08,503.10,3868.20,8170.40
Feb-2011,2020.40,10.50,1768.10,10.90,3810.00,1994.10,10.20,1756.10,10.50,3771.00,2852.37,37.37,435.65,3334.56,7105.56
Jan-2011,2122.90,10.80,1896.20,11.20,4041.10,2093.10,10.50,1884.20,10.70,3998.50,3127.49,39.81,462.96,3640.71,7639.21
Dec-2010,2270.90,11.70,2055.40,14.90,4352.90,2240.20,11.40,2041.10,14.00,4306.70,3174.97,44.14,461.43,3691.45,7998.15
Nov-2010,2235.50,11.30,2068.00,14.40,4329.30,2206.50,11.00,2055.00,13.50,4286.10,3124.36,40.31,520.51,3695.56,7981.66
Oct-2010,2234.90,11.40,2002.70,13.10,4262.10,2201.30,11.00,1988.80,12.30,4213.50,3183.68,41.02,524.33,3759.63,7973.13
Sep-2010,2252.20,11.30,1883.50,13.10,4160.00,2222.10,11.00,1867.80,12.10,4113.00,3238.32,45.57,467.14,3762.04,7875.04
Aug-2010,2286.60,11.20,1815.30,12.80,4126.00,2258.50,10.90,1800.90,11.90,4082.20,3200.03,47.50,481.13,3738.85,7821.05
Jul-2010,2229.60,10.90,1702.20,12.80,3955.60,2204.30,10.70,1689.80,11.90,3916.70,3057.71,44.95,466.85,3579.06,7495.76
Jun-2010,2320.00,10.70,1831.70,14.10,4176.60,2290.80,10.40,1818.70,13.30,4133.30,3139.72,43.71,489.51,3682.76,7816.06
May-2010,2087.20,10.10,1621.30,12.60,3731.20,2060.70,9.80,1608.70,11.80,3691.00,3020.01,40.18,438.81,3508.23,7199.23
Apr-2010,2139.20,11.10,1849.10,12.90,4012.40,2110.80,10.80,1835.90,12.30,3969.70,3038.27,40.71,455.09,3543.87,7513.57
Mar-2010,2211.20,12.20,2040.10,17.70,4281.10,2180.70,11.90,2025.10,17.00,4234.80,3162.01,43.44,489.96,3705.33,7940.13
Feb-2010,1955.20,10.70,1757.50,12.40,3735.80,1927.20,10.50,1745.00,11.90,3694.50,2739.53,34.74,425.37,3208.50,6903.00
Jan-2010,2081.80,11.60,1809.70,12.80,3916.00,2051.10,11.30,1797.80,12.20,3872.40,2831.17,37.81,424.15,3302.13,7174.53
Dec-2009,2134.40,13.10,1985.30,15.90,4148.70,2102.50,12.80,1969.60,15.00,4099.90,2966.16,38.36,456.32,3471.30,7571.20
Nov-2009,2016.10,11.70,1921.70,14.30,3963.90,1988.10,11.50,1908.40,13.50,3921.40,2788.75,34.06,477.54,3309.76,7231.16
Oct-2009,2275.70,12.20,2089.00,14.30,4391.20,2239.20,11.90,2073.60,13.40,4338.20,3071.88,44.58,508.28,3634.87,7973.07
Sep-2009,2234.10,11.70,2002.10,14.80,4262.70,2202.40,11.40,1986.40,13.90,4214.20,3064.27,43.12,467.89,3585.41,7799.61
Aug-2009,2184.20,10.60,1868.90,13.30,4077.00,2155.40,10.30,1853.50,12.60,4031.80,3012.08,44.84,463.37,3529.25,7561.05
Jul-2009,2271.20,10.90,1828.50,13.90,4124.50,2243.30,10.60,1814.10,13.10,4081.00,3095.52,47.74,485.65,3638.19,7719.19
Jun-2009,2289.00,11.50,1847.70,13.80,4162.10,2260.10,11.20,1834.20,12.90,4118.40,3050.62,45.11,493.69,3598.83,7717.23
May-2009,2179.40,10.30,1716.80,13.00,3919.50,2151.30,10.00,1704.60,12.30,3878.10,2890.39,40.61,451.01,3390.94,7269.04
Apr-2009,2133.40,11.20,1925.00,15.50,4085.00,2102.10,11.00,1910.80,14.70,4038.60,2997.73,43.79,474.99,3525.67,7564.27
Mar-2009,2144.00,12.20,1969.70,15.90,4141.90,2112.60,12.00,1955.20,15.30,4095.10,2996.98,42.51,471.43,3520.53,7615.63
Feb-2009,1986.00,11.00,1817.30,12.70,3827.00,1954.50,10.80,1803.50,12.20,3780.90,2704.33,37.09,444.07,3193.63,6974.53
Jan-2009,2117.90,12.00,2027.00,13.30,4170.10,2086.40,11.70,2012.90,12.80,4123.80,2871.58,38.32,469.17,3388.45,7512.25
Dec-2008,2082.00,13.30,2052.10,15.40,4162.90,2051.30,13.00,2036.80,14.50,4115.60,2931.54,39.79,492.14,3474.13,7589.73
Nov-2008,1959.30,11.30,1886.10,12.80,3869.50,1933.10,11.00,1873.70,12.20,3830.00,2662.69,38.60,508.51,3218.69,7048.69
Oct-2008,2340.90,13.50,2159.90,15.00,4529.30,2305.40,13.20,2144.10,14.20,4476.90,3270.62,50.59,581.79,3913.67,8390.57
Sep-2008,2269.90,12.80,1975.80,14.50,4272.90,2239.00,12.50,1960.10,13.60,4225.20,3149.68,48.96,515.39,3724.66,7949.86
Aug-2008,2266.80,11.20,1803.90,13.30,4095.20,2238.80,11.00,1787.90,12.50,4050.20,3080.51,47.89,506.95,3644.53,7694.73
Jul-2008,2371.60,12.30,1852.50,13.70,4250.10,2341.90,12.10,1837.40,13.00,4204.30,3226.69,51.13,546.02,3833.74,8038.04
Jun-2008,2263.40,11.70,1761.80,13.10,4050.00,2234.20,11.50,1747.90,12.50,4006.20,3077.27,49.76,522.01,3658.13,7664.33
May-2008,2380.10,11.50,1815.50,15.00,4222.00,2351.20,11.20,1801.70,14.40,4178.60,3165.37,50.00,518.93,3743.49,7922.09
Apr-2008,2255.40,11.90,2015.60,15.30,4298.20,2224.50,11.70,2000.50,14.60,4251.30,3196.56,48.03,519.20,3773.93,8025.23
Mar-2008,2100.50,11.30,1962.00,16.00,4089.80,2071.40,11.10,1947.70,15.40,4045.60,2981.61,45.08,486.99,3523.75,7569.35
Feb-2008,2038.60,11.00,1902.70,15.00,3967.40,2009.60,10.80,1888.50,14.50,3923.30,2926.53,43.70,502.84,3482.89,7406.19
Jan-2008,2232.70,11.30,2159.00,14.70,4417.70,2199.40,11.00,2143.50,14.20,4368.10,3237.24,45.74,546.42,3839.97,8208.07
Dec-2007,2061.40,10.40,1972.70,15.40,4059.90,2032.70,10.20,1957.40,14.50,4014.80,2901.44,38.10,460.84,3411.27,7426.07
Nov-2007,2228.80,10.10,2045.20,16.10,4300.20,2201.50,9.70,2030.70,15.40,4257.40,3033.20,41.02,526.04,3611.64,7869.04
Oct-2007,2443.00,11.10,2145.10,16.40,4615.60,2407.30,10.70,2127.90,15.50,4561.40,3383.81,47.56,585.07,4028.35,8589.75
Sep-2007,2094.70,9.40,1746.00,13.60,3863.60,2066.70,9.10,1731.10,12.90,3819.70,2894.71,35.80,460.17,3400.40,7220.10
Aug-2007,2450.60,10.30,1850.00,14.80,4325.70,2421.60,10.10,1833.60,13.90,4279.20,3181.23,47.35,522.21,3762.32,8041.52
Jul-2007,2256.70,10.70,1659.50,13.50,3940.40,2228.60,10.50,1644.90,12.80,3896.80,3055.05,44.59,505.24,3615.98,7512.78
Jun-2007,2348.50,11.20,1654.10,13.70,4027.50,2321.80,11.00,1641.20,13.10,3987.10,3027.01,45.04,507.21,3589.89,7576.99
May-2007,2285.10,12.30,1762.60,15.50,4075.50,2257.20,12.10,1749.30,14.90,4033.50,3171.78,44.84,511.22,3739.19,7772.69
Apr-2007,2015.00,11.90,1711.50,15.00,3753.40,1988.10,11.60,1698.00,14.30,3712.00,2885.40,38.60,463.12,3398.21,7110.21
Mar-2007,2118.20,13.50,1861.00,19.60,4012.40,2088.50,13.30,1846.50,19.00,3967.30,2927.76,39.47,481.89,3460.64,7427.94
Feb-2007,1952.50,12.10,1636.30,14.40,3615.40,1924.20,11.90,1623.20,13.90,3573.20,2667.87,36.30,445.34,3160.03,6733.23
Jan-2007,2166.00,14.30,1898.50,15.00,4093.80,2131.70,14.00,1884.30,14.50,4044.60,3029.80,39.51,482.44,3563.88,7608.48
Dec-2006,2049.60,13.10,1796.40,15.40,3874.50,2019.40,12.90,1780.50,14.70,3827.50,2737.82,36.92,429.11,3215.53,7043.03
Nov-2006,2226.60,12.90,1896.40,15.40,4151.40,2197.70,12.70,1880.90,14.80,4106.10,2912.26,40.60,506.01,3470.27,7576.37
Oct-2006,2236.40,13.20,1932.00,15.70,4197.20,2200.40,12.90,1916.40,14.90,4144.70,3185.11,44.02,540.95,3781.80,7926.50
Sep-2006,2169.90,12.10,1753.70,14.30,3949.90,2140.10,11.80,1737.80,13.50,3903.30,2900.64,39.72,461.42,3413.15,7316.45
Aug-2006,2450.00,12.80,1780.20,14.60,4257.60,2419.90,12.60,1762.80,13.90,4209.20,3133.89,46.29,500.95,3692.27,7901.47
Jul-2006,2213.60,11.20,1552.60,13.20,3790.60,2187.90,11.00,1540.10,12.60,3751.60,2835.97,39.24,456.94,3342.42,7094.02
Jun-2006,2446.10,12.40,1663.30,14.40,4136.20,2417.70,12.20,1649.20,13.80,4092.90,3046.86,46.31,508.96,3613.73,7706.63
May-2006,2309.00,12.70,1726.00,16.10,4063.80,2278.90,12.50,1711.70,15.60,4018.60,3158.65,45.39,493.84,3710.21,7728.81
Apr-2006,1969.20,10.40,1618.30,16.90,3614.80,1941.30,10.10,1605.50,16.20,3573.20,2774.38,40.49,432.65,3258.80,6832.00
Mar-2006,2203.70,12.70,1877.50,18.30,4112.10,2172.30,12.40,1862.20,17.70,4064.60,3098.50,45.35,490.53,3646.61,7711.21
Feb-2006,1826.90,11.30,1637.00,14.70,3489.90,1797.90,11.10,1623.60,14.10,3446.70,2713.91,37.34,412.51,3174.18,6620.88
Jan-2006,2051.00,11.80,1820.50,16.30,3899.60,2018.10,11.50,1806.50,15.40,3851.60,3001.59,43.10,447.88,3503.96,7355.56
Dec-2005,2057.30,13.50,1866.30,16.50,3953.60,2027.00,13.10,1850.30,15.90,3906.30,2916.80,41.56,437.70,3408.58,7314.88
Nov-2005,2071.30,12.40,1843.20,15.80,3942.70,2042.70,12.10,1826.90,15.20,3896.90,2942.24,40.22,482.85,3477.92,7374.82
Oct-2005,2080.70,12.60,1816.20,15.80,3925.10,2046.40,12.00,1800.90,15.10,3874.40,3044.66,41.57,484.30,3583.07,7457.47
Sep-2005,2158.00,13.20,1743.00,15.60,3929.80,2127.40,13.00,1727.60,15.00,3882.90,3011.12,42.24,454.48,3520.18,7403.08
Aug-2005,2319.00,13.70,1752.30,15.40,4100.40,2289.40,13.40,1734.40,14.60,4051.90,3113.26,47.22,488.36,3660.83,7712.73
Jul-2005,2082.80,12.40,1505.00,13.40,3613.60,2056.60,12.10,1491.90,12.80,3573.30,2814.34,42.02,431.99,3298.77,6872.07
Jun-2005,2227.00,13.20,1706.50,15.30,3962.00,2199.00,12.90,1692.90,14.60,3919.30,3055.35,48.07,489.99,3605.04,7524.34
May-2005,2074.00,13.20,1611.40,14.80,3713.50,2046.70,12.90,1595.70,14.30,3669.60,3023.24,45.10,461.02,3540.84,7210.44
Apr-2005,1887.80,13.00,1703.40,15.50,3619.70,1860.30,12.60,1690.60,14.90,3578.40,2855.37,44.39,446.02,3356.50,6934.90
Mar-2005,2041.70,13.30,1803.70,19.50,3878.10,2010.30,12.90,1787.70,18.80,3829.80,3036.44,46.47,463.10,3557.94,7387.74
Feb-2005,1767.40,12.00,1629.20,15.10,3423.80,1739.00,11.70,1616.00,14.60,3381.40,2667.92,38.84,409.16,3125.84,6507.24
Jan-2005,1915.60,13.30,1704.80,14.50,3648.20,1883.60,13.00,1691.50,13.70,3601.80,2884.09,38.71,455.35,3389.53,6991.33
Dec-2004,2042.00,14.90,1857.00,17.00,3930.40,2012.00,14.50,1840.00,16.20,3882.00,2836.92,42.48,439.97,3331.14,7213.14
Nov-2004,1941.00,13.80,1799.00,16.50,3770.10,1909.00,13.30,1784.00,15.80,3722.00,2479.32,40.59,483.19,3331.53,7053.53
Oct-2004,2114.00,12.40,1779.00,16.30,3921.10,2081.00,11.90,1764.00,15.50,3872.00,2903.61,43.70,466.15,3424.57,7296.57
Sep-2004,2105.00,12.90,1772.00,16.30,3906.30,2075.00,12.50,1755.00,15.60,3857.00,2974.08,46.50,458.48,3490.68,7347.68
Aug-2004,2151.00,14.00,1699.00,15.20,3879.60,2122.00,13.60,1681.00,14.40,3831.00,2989.46,45.74,469.58,3515.79,7346.79
Jul-2004,2104.00,13.30,1576.00,14.20,3707.90,2077.00,12.90,1562.00,13.50,3666.00,2875.84,43.53,461.98,3391.91,7057.91
Jun-2004,2227.00,13.30,1672.00,15.60,3927.60,2198.00,12.90,1657.00,14.90,3883.00,2906.36,43.75,467.47,3428.55,7311.55
May-2004,2070.00,13.70,1500.00,13.10,3596.90,2043.00,13.40,1486.00,12.30,3555.00,2771.44,39.22,449.14,3270.09,6825.09
Apr-2004,1956.00,13.90,1725.00,17.50,3712.80,1929.00,13.50,1711.00,16.50,3669.00,2814.24,42.16,449.20,3316.88,6985.88
Mar-2004,2108.00,14.10,1801.00,22.20,3945.00,2076.00,13.60,1785.00,21.50,3895.00,2903.18,45.09,470.85,3430.97,7325.97
Feb-2004,1804.00,14.50,1571.00,14.80,3404.80,1775.00,14.10,1557.00,14.10,3360.00,2467.75,32.34,397.96,2908.40,6268.40
Jan-2004,1926.00,16.00,1758.00,15.50,3715.50,1894.00,15.60,1743.00,14.80,3668.00,2823.60,39.21,440.03,3314.42,6982.42
Dec-2003,1978.00,19.00,1869.00,18.00,3884.00,1948.00,18.50,1851.00,17.20,3835.00,2763.58,39.08,439.37,3254.04,7089.04
Nov-2003,1783.00,15.20,1718.00,16.30,3532.70,1755.00,14.70,1703.00,15.60,3488.00,2423.94,33.86,455.50,2923.71,6411.71
Oct-2003,2212.00,16.30,1912.00,17.90,4158.30,2178.00,15.70,1894.00,17.20,4105.00,3052.75,43.74,528.44,3638.09,7743.09
Sep-2003,2314.00,15.30,1668.00,16.90,4014.30,2285.00,14.70,1650.00,16.10,3966.00,2817.22,40.16,459.59,3328.37,7294.37
Aug-2003,2328.00,14.10,1559.00,15.70,3916.70,2300.00,13.70,1541.00,14.90,3870.00,2742.31,41.36,455.65,3248.90,7118.90
Jul-2003,2439.00,14.80,1580.00,15.70,4050.10,2411.00,14.30,1562.00,14.90,4003.00,2888.08,46.50,493.54,3437.65,7440.65
Jun-2003,2391.00,15.00,1531.00,15.20,3952.30,2364.00,14.50,1515.00,14.50,3908.00,2759.84,44.53,482.46,3295.95,7203.95
May-2003,2360.00,15.80,1551.00,15.20,3942.40,2332.00,15.30,1535.00,14.50,3896.00,2781.18,44.03,481.72,3316.94,7212.94
Apr-2003,2151.00,16.00,1659.00,19.50,3845.80,2121.00,15.50,1642.00,18.60,3797.00,2733.64,43.52,474.43,3261.91,7058.91
Mar-2003,2048.00,16.50,1623.00,18.10,3706.10,2018.00,16.00,1606.00,17.60,3657.00,2592.40,41.14,468.47,3111.42,6768.42
Feb-2003,1942.00,15.80,1523.00,15.10,3496.10,1912.00,15.30,1506.00,14.30,3448.00,2419.48,39.54,431.36,2899.97,6347.97
Jan-2003,2291.00,17.80,1752.00,16.00,4077.30,2256.00,17.30,1734.00,15.40,4023.00,2774.60,45.21,479.84,3310.61,7333.61
Dec-2002,2107.00,18.00,1715.00,18.50,3858.20,2075.00,17.40,1694.00,17.80,3804.00,2527.35,42.21,463.36,3043.62,6847.62
Nov-2002,2164.00,16.90,1709.00,17.80,3907.10,2134.00,16.30,1691.00,17.10,3859.00,2455.52,40.90,492.31,2998.04,6857.04
Oct-2002,2512.00,18.70,1831.00,19.70,4382.10,2474.00,18.00,1810.00,18.80,4321.00,2953.35,50.68,525.87,3541.53,7862.53
Sep-2002,2201.00,16.30,1638.00,17.60,3873.20,2170.00,15.70,1617.00,16.80,3820.00,2596.42,46.43,444.58,3098.33,6918.33
Aug-2002,2469.00,16.70,1637.00,16.60,4139.60,2438.00,16.20,1617.00,15.70,4087.00,2828.32,49.16,481.90,3369.44,7456.44
Jul-2002,2427.00,16.70,1557.00,16.30,4016.50,2398.00,16.20,1538.00,15.40,3967.00,2826.46,48.26,485.60,3370.01,7337.01
Jun-2002,2302.00,14.60,1479.00,15.10,3810.80,2274.00,14.10,1461.00,14.40,3764.00,2587.06,44.03,452.89,3092.78,6856.78
May-2002,2336.00,15.50,1646.00,19.50,4017.30,2306.00,15.00,1628.00,18.60,3968.00,2894.91,46.50,496.82,3449.41,7417.41
Apr-2002,2195.00,16.10,1672.00,19.10,3901.80,2164.00,15.60,1654.00,18.40,3852.00,2751.80,47.34,491.30,3300.48,7152.48
Mar-2002,2059.00,15.00,1581.00,22.20,3677.70,2028.00,14.60,1563.00,21.60,3627.00,2585.07,42.82,447.16,3085.88,6712.88
Feb-2002,1987.00,14.30,1482.00,17.80,3502.10,1956.00,13.90,1465.00,17.00,3452.00,2453.56,40.81,448.22,2952.66,6404.66
Jan-2002,2331.00,16.90,1717.00,17.70,4082.50,2296.00,16.40,1698.00,17.10,4027.00,2779.91,47.98,482.73,3321.99,7348.99
Dec-2001,2110.00,16.00,1668.00,19.00,3813.60,2078.00,15.00,1648.00,18.00,3759.00,2464.81,40.87,419.76,2935.36,6694.36
